"","X","idno","cntry","gndr","agea","edulvlb","eduyrs","nwspol","netusoft","netustm","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","lrscale","yrbrn"
"5545",9437,10007670,"DE",1,58,610,15,90,5,120,8,9,10,3,4,4,6,5,1958
"5546",9440,10007689,"DE",1,52,322,11,10,5,150,5,7,7,5,4,3,3,5,1964
"5547",9441,10007694,"DE",2,34,322,10,45,5,30,4,7,8,3,3,6,6,2,1982
"5548",9442,10007696,"DE",1,64,610,12,60,5,90,4,2,5,2,3,0,3,3,1953
"5549",9443,10007700,"DE",1,48,520,15,60,5,60,7,8,8,7,6,6,6,3,1969
"5550",9446,10007720,"DE",1,64,520,16,90,5,60,8,8,10,6,6,5,7,0,1952
"5551",9447,10007722,"DE",2,73,610,17,90,5,90,7,4,7,7,6,5,5,5,1943
"5552",9451,10007743,"DE",2,29,322,12,30,5,240,5,7,8,3,4,5,5,5,1988
"5553",9452,10007747,"DE",1,48,321,14,120,5,120,10,9,9,7,7,9,9,2,1968
"5554",9454,10007760,"DE",1,62,322,13,150,5,720,6,9,10,4,3,1,8,5,1954
"5555",9456,10007770,"DE",1,67,322,13,180,4,45,7,5,7,6,4,3,2,5,1949
"5556",9457,10007773,"DE",2,50,710,16,30,5,360,7,10,9,7,7,5,9,3,1966
"5557",9462,10007811,"DE",2,36,422,14,60,5,120,0,0,0,0,2,2,2,5,1980
"5558",9463,10007812,"DE",2,33,423,16,30,5,30,5,6,7,3,5,5,5,6,1983
"5559",9467,10007823,"DE",2,29,212,11,10,5,420,3,5,7,4,4,5,5,5,1987
"5560",9468,10007824,"DE",2,45,321,17,30,5,240,7,7,8,6,8,8,6,3,1971
"5561",9469,10007827,"DE",1,29,321,13,30,5,180,3,2,3,0,4,2,5,6,1987
